ORIGIN,DEST,COUNT
MCO,SEA,903.0
MCO,SFO,1449.0
MCO,SJU,3996.0
MCO,SLC,1342.0
MCO,STL,1928.0
MCO,SWF,365.0
MCO,SYR,365.0
MCO,TTN,500.0
MDW,RSW,1241.0
MDW,TPA,1649.0
MEM,TPA,363.0
MHT,TPA,466.0
MIA,MSP,760.0
MIA,MSY,952.0
MIA,ORD,4779.0
MIA,PHL,2399.0
MIA,PHX,1083.0
MIA,RDU,1100.0
MIA,SAN,599.0
MIA,SAT,336.0
MIA,SEA,463.0
MIA,SFO,1713.0
MIA,SJU,2308.0
MIA,SLC,294.0
MIA,STL,683.0
MIA,STT,1003.0
MIA,STX,609.0
MIA,TPA,1891.0
MKE,RSW,453.0
MKE,TPA,640.0
MSP,RSW,1127.0
MSP,TPA,1050.0
MSY,TPA,1141.0
ORD,PBI,677.0
ORD,PNS,212.0
ORD,RSW,2337.0
ORD,SRQ,180.0
ORD,TPA,2728.0
PBI,PHL,1168.0
PBI,TTN,165.0
PGD,TTN,110.0
PHL,RSW,1013.0
PHL,TPA,2428.0
PHX,TPA,1227.0
PIT,RSW,501.0
PIT,TPA,861.0
PVD,RSW,121.0
PVD,TPA,695.0
RDU,TPA,889.0
ROC,TPA,344.0
RSW,STL,724.0
SAT,TPA,381.0
SDF,TPA,433.0
SEA,TPA,365.0
SFO,TPA,319.0
SJU,TPA,999.0
STL,TPA,842.0
TPA,TTN,186.0
